stateabbr,trial_count,site_count,year,diabetes_prevalence,diabetes_low_ci,diabetes_high_ci,population,poverty_rate,trials_per_100k,industry_trial_count,non_industry_trial_count,industry_trials_per_100k,non_industry_trials_per_100k,industry_pct,burden_decile,expected_trials_per_100k,coverage_residual,coverage_residual_z,coverage_quartile
OH,718,1772,2023.0,10.2,8.8,11.9,11774683,13.305625102635451,6.097828705876838,632,86,5.367448108794097,0.730380597082741,88.02228412256268,5.0,7.927431616977785,-1.829602911100947,-0.5292564129709317,Q2
OK,332,487,2023.0,10.7,9.3,12.3,3970497,15.229635767011063,8.361673614159637,316,16,7.958701391790498,0.40297222236913915,95.18072289156626,6.0,9.835423080315556,-1.473749466155919,-0.42631729067710894,Q2
OR,340,465,2023.0,9.7,8.4,11.3,4229374,11.910194035527306,8.039014757266678,309,31,7.306045764692364,0.7329689925743148,90.88235294117646,4.0,6.284429797643944,1.7545849596227336,0.5075556757962761,Q3
PA,651,1576,,,,,12989208,11.782103579482799,5.011852916667436,529,122,4.072611663467088,0.9392412532003491,81.25960061443932,,,,,
RI,113,142,2023.0,7.1,6.0,8.3,1094250,11.222117744148303,10.326707790724239,106,7,9.687000228466985,0.6397075622572538,93.80530973451327,1.0,7.997941357871577,2.328766432852662,0.673651403493372,Q4_high
SC,517,1079,2023.0,10.3,8.9,11.7,5142750,14.350287026131012,10.052987215011424,494,23,9.60575567546546,0.44723153954596273,95.55125725338492,6.0,9.835423080315556,0.2175641346958681,0.06293563090745799,Q3
SD,71,74,2023.0,18.1,15.9,20.5,890342,12.259809171566703,7.974463745392219,64,7,7.188249009931015,0.7862147354612048,90.14084507042253,10.0,6.315144068226351,1.6593196771658683,0.4799979137442669,Q3
TN,598,1214,2023.0,9.8,8.3,11.5,6923772,13.959259708007147,8.63691063195033,532,66,7.683673003674876,0.9532376282754546,88.96321070234114,5.0,7.927431616977785,0.7094790149725458,0.2052337784686668,Q3
TX,1195,5459,2023.0,21.4,19.8,23.1,29243342,13.944421378427283,4.086400247960715,1015,180,3.470875524418515,0.6155247235421998,84.93723849372385,10.0,6.315144068226351,-2.2287438202656356,-0.644717469888109,Q2
UT,359,615,2023.0,8.9,7.8,10.2,3283809,8.51545504900004,10.932426337829027,340,19,10.353829957832504,0.5785963799965224,94.70752089136491,2.0,10.38028970217102,0.5521366356580071,0.15971873103456818,Q3
VA,529,1066,2023.0,12.9,11.1,14.9,8624511,9.984590274700759,6.133681086382753,477,52,5.530748351993522,0.6029327343892309,90.17013232514178,8.0,7.345202459436951,-1.2115213730541985,-0.35046154127205853,Q2
VT,69,75,2023.0,6.9,5.9,8.1,643816,10.427024998510172,10.717347813661046,63,6,9.785404525516608,0.9319432881444388,91.30434782608695,1.0,7.997941357871577,2.7194064557894695,0.7866533756961862,Q4_high
WA,524,881,2023.0,12.1,10.7,13.7,7688549,9.89639170085106,6.815330174783304,473,51,6.152006054718517,0.6633241200647872,90.26717557251908,7.0,6.399333579353706,0.4159965954295979,0.12033696742027172,Q3
WI,221,285,2023.0,9.7,8.4,11.1,5882128,10.650244360077476,3.757143673174062,195,26,3.315126770447702,0.44201690272636024,88.23529411764706,4.0,6.284429797643944,-2.527286124469882,-0.7310779736261238,Q1_low
WV,69,78,2023.0,14.3,12.3,16.5,1792967,16.803664956131186,3.848369769214938,60,9,3.346408494969511,0.5019612742454267,86.95652173913044,10.0,6.315144068226351,-2.466774299011413,-0.7135734804433922,Q1_low
WY,1,1,2023.0,9.7,8.3,11.3,577929,10.660072149688444,0.17303163537389543,0,1,0.0,0.17303163537389543,0.0,4.0,6.284429797643944,-6.111398162270048,-1.7678681259059983,Q1_low
