county_fips,lat,lon,pop,has_trial_site,dist_nearest_trial_km
16027,43.612485,-116.625046,231105,True,0.0
16055,47.738595,-116.837402,171362,True,0.0
16065,43.819187,-111.793855,52913,True,0.0
16069,46.393945,-116.952097,42090,True,0.0
16079,47.514916,-116.091781,13169,True,0.0
17001,39.943853,-91.327397,65737,True,0.0
17007,42.294302,-88.852137,53448,True,0.0
17019,40.126856,-88.23646,205865,True,0.0
17031,41.869515,-87.757998,5275541,True,0.0
17043,41.848928,-88.071268,932877,True,0.0
17057,40.524812,-90.116575,33609,True,0.0
17075,40.762253,-87.838453,27077,True,0.0
17083,39.075249,-90.319327,21512,True,0.0
17089,41.928443,-88.33542,516522,True,0.0
17097,42.311645,-87.970527,714342,True,0.0
17111,42.270305,-88.351365,310229,True,0.0
17113,40.493799,-88.953797,170954,True,0.0
17117,39.191697,-89.877091,44967,True,0.0
17119,38.801004,-90.012645,265859,True,0.0
17143,40.746692,-89.639949,181830,True,0.0
17157,38.061445,-89.809741,30163,True,0.0
17161,41.489119,-90.502512,144672,True,0.0
17163,38.548186,-89.990225,257400,True,0.0
17167,39.771106,-89.654882,196343,True,0.0
17179,40.605153,-89.530221,131343,True,0.0
17195,41.781958,-89.82525,55691,True,0.0
17197,41.565502,-88.058558,696355,True,0.0
17201,42.308321,-89.060442,285350,True,0.0
18001,40.749532,-84.934318,35809,True,0.0
18003,41.100842,-85.125233,385410,True,0.0
18019,38.373412,-85.732548,121093,True,0.0
18035,40.20524,-85.402908,111903,True,0.0
18039,41.637245,-85.905688,207047,True,0.0
18043,38.32223,-85.857888,80484,True,0.0
18057,40.001506,-86.057612,347467,True,0.0
18059,39.815247,-85.829626,79840,True,0.0
18063,39.773147,-86.41108,174788,True,0.0
18069,40.869855,-85.486182,36662,True,0.0
18081,39.555913,-86.115187,161765,True,0.0
18083,38.699306,-87.454832,36282,True,0.0
18085,41.267835,-85.830509,80240,True,0.0
18089,41.518998,-87.407505,498700,True,0.0
18091,41.632279,-86.791226,112417,True,0.0
18095,40.113496,-85.7088,130129,True,0.0
18105,39.162275,-86.53857,139718,True,0.0
18127,41.513979,-87.104333,173215,True,0.0
18141,41.67642,-86.227079,272912,True,0.0
18157,40.418699,-86.886959,186251,True,0.0
18163,37.998233,-87.549603,180136,True,0.0
18167,39.460456,-87.386916,106153,True,0.0
18169,40.855768,-85.80421,30976,True,0.0
18173,38.011051,-87.355616,63898,True,0.0
18177,39.843304,-84.948672,66553,True,0.0
19013,42.490207,-92.37179,131144,True,0.0
19061,42.493173,-90.762214,99266,True,0.0
19099,41.678059,-93.07144,37813,True,0.0
19103,41.683586,-91.561276,152854,True,0.0
19153,41.630968,-93.640165,492401,True,0.0
19155,41.278446,-95.79385,93667,True,0.0
19163,41.5647,-90.562678,174669,True,0.0
19169,42.025132,-93.604948,98537,True,0.0
20015,37.725409,-96.99849,67380,True,0.0
20063,39.047079,-100.377754,2718,True,0.0
20079,38.046143,-97.385867,34024,True,0.0
20091,38.924919,-94.740299,609863,True,0.0
20103,39.23513,-94.959527,81881,True,0.0
20125,37.143443,-95.693873,31486,True,0.0
20151,37.6448,-98.730599,9157,True,0.0
20155,38.051646,-97.931942,61898,True,0.0
20161,39.190165,-96.632706,71959,True,0.0
20173,37.680269,-97.34439,523824,True,0.0
20177,39.034789,-95.706417,178909,True,0.0
21013,36.680825,-83.70439,24097,True,0.0
21015,38.984893,-84.678985,135968,True,0.0
21017,38.203999,-84.246703,20252,True,0.0
21019,38.432179,-82.666251,48261,True,0.0
21035,36.621007,-88.30609,37103,True,0.0
21037,39.032376,-84.439251,93076,True,0.0
21047,36.80904,-87.477832,72748,True,0.0
21059,37.747426,-87.095079,103312,True,0.0
21093,37.743564,-85.915853,110702,True,0.0
21099,37.280435,-85.88777,19288,True,0.0
21107,37.308856,-87.52201,45423,True,0.0
21111,38.201451,-85.686227,782969,True,0.0
21117,39.011065,-84.549073,169064,True,0.0
21131,37.115702,-83.376004,10513,True,0.0
21145,37.0493,-88.649871,67875,True,0.0
21151,37.70685,-84.286707,92701,True,0.0
21157,36.897003,-88.34,31659,True,0.0
21173,38.037988,-83.918227,28114,True,0.0
21179,37.820783,-85.4595,46738,True,0.0
21193,37.258818,-83.200329,28473,True,0.0
21195,37.463914,-82.427235,58669,True,0.0
21227,36.966984,-86.435814,134554,True,0.0
21233,37.502386,-87.68192,13017,True,0.0
21239,38.048373,-84.726705,26871,True,0.0
22001,30.281563,-92.350979,57576,True,0.0
22017,32.468933,-93.799166,237848,True,0.0
22019,30.225067,-93.257749,216785,True,0.0
22033,30.460289,-91.100064,456781,True,0.0
22045,29.994242,-91.80964,69929,True,0.0
22051,29.945816,-90.152287,440781,True,0.0
22055,30.198103,-92.042199,241753,True,0.0
22069,31.757091,-93.097411,37515,True,0.0
22071,29.975765,-90.05295,383997,True,0.0
22073,32.516411,-92.131922,160368,True,0.0
22079,31.286365,-92.455373,130023,True,0.0
22095,30.072182,-90.511201,42477,True,0.0
22097,30.510054,-92.112737,82540,True,0.0
22103,30.386943,-89.961836,264570,True,0.0
22105,30.561076,-90.449002,133157,True,0.0
22109,29.596256,-90.725647,109580,True,0.0
22115,31.09456,-93.24714,48750,True,0.0
22117,30.839568,-90.004103,45463,True,0.0
22119,32.699031,-93.338052,36967,True,0.0
23001,44.117226,-70.202081,111139,True,0.0
23005,43.746359,-70.305033,303069,True,0.0
23019,44.944506,-68.797457,152199,True,0.0
23027,44.490051,-69.086158,39607,True,0.0
23031,43.422532,-70.64015,211972,True,0.0
24001,39.628458,-78.820665,68106,True,0.0
24003,39.071038,-76.604417,588261,True,0.0
24005,39.368834,-76.620325,854535,True,0.0
24009,38.551108,-76.54407,92783,True,0.0
24013,39.526206,-76.993056,172891,True,0.0
24015,39.614177,-75.936285,103725,True,0.0
24021,39.427679,-77.400605,271717,True,0.0
24027,39.217658,-76.854298,332317,True,0.0
24031,39.087069,-77.124126,1062061,True,0.0
24033,38.909313,-76.888689,967201,True,0.0
24035,39.021381,-76.149985,49874,True,0.0
24037,38.307223,-76.577954,113777,True,0.0
24041,38.7685,-76.098027,37526,True,0.0
24043,39.618688,-77.73148,154705,True,0.0
24045,38.372255,-75.593756,103588,True,0.0
24510,39.314378,-76.618104,585708,True,0.0
25001,41.692343,-70.328659,228996,True,0.0
25003,42.456888,-73.218336,129026,True,0.0
25005,41.794278,-71.109451,579200,True,0.0
25009,42.625306,-70.991432,809829,True,0.0
25011,42.578152,-72.559152,71029,True,0.0
25013,42.125554,-72.574333,465825,True,0.0
25015,42.312741,-72.572165,162308,True,0.0
25017,42.447845,-71.254598,1632002,True,0.0
25021,42.202442,-71.146359,725981,True,0.0
25023,42.023677,-70.855576,530819,True,0.0
25025,42.336102,-71.077148,797936,True,0.0
25027,42.303377,-71.802715,862111,True,0.0
26001,44.668106,-83.46556,10167,True,0.0
26007,45.050588,-83.502895,28907,True,0.0
26017,43.629992,-83.929196,103856,True,0.0
26019,44.651834,-86.011382,17970,True,0.0
26021,41.985704,-86.406377,154316,True,0.0
26025,42.289631,-85.106049,134310,True,0.0
26041,45.801912,-87.065752,36903,True,0.0
26047,45.432042,-84.910442,34112,True,0.0
26049,43.002399,-83.693809,406211,True,0.0
26055,44.713441,-85.613028,95238,True,0.0
26065,42.688382,-84.486253,284900,True,0.0
26075,42.241802,-84.406618,160366,True,0.0
26077,42.262549,-85.586372,261670,True,0.0
26081,42.961776,-85.625638,657974,True,0.0
26087,43.058194,-83.249396,88619,True,0.0
26093,42.575026,-83.856466,193866,True,0.0
26099,42.589118,-82.957895,881217,True,0.0
26103,46.486717,-87.492759,66017,True,0.0
26111,43.643318,-84.296349,83494,True,0.0
26121,43.243847,-86.214941,175824,True,0.0
26125,42.586862,-83.314039,1274395,True,0.0
26145,43.399088,-83.996446,190124,True,0.0
26147,42.912215,-82.563457,160383,True,0.0
26151,43.365189,-82.782963,40611,True,0.0
26157,43.429916,-83.433939,53323,True,0.0
26161,42.257602,-83.726939,372258,True,0.0
26163,42.329477,-83.226321,1793561,True,0.0
26165,44.309686,-85.486553,33673,True,0.0
27003,45.195033,-93.269315,363887,True,0.0
27013,44.133623,-93.994417,69112,True,0.0
27019,44.836919,-93.679267,106922,True,0.0
27035,46.430863,-94.162322,66123,True,0.0
27037,44.763244,-93.154642,439882,True,0.0
27039,44.030082,-92.805954,20867,True,0.0
27047,43.662772,-93.361666,30895,True,0.0
27053,44.976697,-93.361233,1281565,True,0.0
27109,44.024514,-92.476238,162847,True,0.0
27123,44.99291,-93.10565,552352,True,0.0
27137,47.078425,-92.307366,200231,True,0.0
28007,33.065276,-89.589172,17889,True,0.0
28011,33.771865,-90.768825,30985,True,0.0
28021,31.931505,-90.950731,9135,True,0.0
28033,34.927389,-89.949653,185314,True,0.0
28035,31.309279,-89.287954,78158,True,0.0
28047,30.434161,-89.063779,208621,True,0.0
28049,32.304046,-90.257,227742,True,0.0
28053,33.164116,-90.518897,7785,True,0.0
28063,31.714009,-91.057536,7260,True,0.0
28081,34.278226,-88.703819,83343,True,0.0
28089,32.509875,-90.104845,109145,True,0.0
28107,34.345346,-89.934868,33208,True,0.0
28109,30.640759,-89.631685,56145,True,0.0
28125,32.921684,-90.862626,3800,True,0.0
29007,39.203899,-91.826614,24962,True,0.0
29019,38.956712,-92.321624,183610,True,0.0
29029,38.073064,-92.746042,42745,True,0.0
29031,37.355235,-89.607695,81710,True,0.0
29037,38.751052,-94.424307,107824,True,0.0
29043,37.027878,-93.264355,88842,True,0.0
29047,39.252956,-94.497328,253335,True,0.0
29071,38.436356,-90.998977,104682,True,0.0
29077,37.192242,-93.309507,298915,True,0.0
29091,36.792561,-91.873718,39750,True,0.0
29095,39.00998,-94.444287,717204,True,0.0
29097,37.129578,-94.444125,122761,True,0.0
29099,38.340859,-90.475056,226739,True,0.0
29127,39.741435,-91.457393,28525,True,0.0
29161,37.943357,-91.747022,44638,True,0.0
29183,38.778572,-90.671284,405262,True,0.0
29187,37.834497,-90.488054,66922,True,0.0
29189,38.644521,-90.389519,1004125,True,0.0
30013,47.491558,-111.306586,84414,True,0.0
30029,48.24738,-114.28093,104357,True,0.0
30031,45.682956,-111.128767,118960,True,0.0
30035,48.601084,-112.803122,13778,True,0.0
30047,47.608393,-114.123168,31134,True,0.0
30049,46.646621,-112.019644,70973,True,0.0
30063,46.875546,-114.021512,117922,True,0.0
30111,45.789945,-108.546051,164731,True,0.0
31001,40.585501,-98.41518,31205,True,0.0
31019,40.737756,-99.072828,50084,True,0.0
31041,41.400577,-99.673936,10545,True,0.0
31053,41.471288,-96.528637,37167,True,0.0
31055,41.26173,-96.069741,584526,True,0.0
31079,40.91634,-98.377793,62895,True,0.0
31109,40.799269,-96.671536,322608,True,0.0
31111,41.119294,-100.789525,34676,True,0.0
31119,42.00636,-97.461443,35585,True,0.0
31145,40.206742,-100.592097,10702,True,0.0
31153,41.152889,-96.0437,190604,True,0.0
31157,41.865094,-103.680393,36084,True,0.0
31185,40.863485,-97.605023,14125,True,0.0
32003,36.141141,-115.152976,2265461,True,0.0
32023,36.414296,-116.125667,51591,True,0.0
32031,39.534488,-119.793527,486492,True,0.0
32510,39.166096,-119.75408,58639,True,0.0
33009,43.83744,-71.957176,91118,True,0.0
33011,42.879412,-71.531546,422937,True,0.0
33013,43.244048,-71.586768,153808,True,0.0
33015,42.937487,-71.105861,314176,True,0.0
33017,43.246137,-70.954351,130889,True,0.0
34001,39.428157,-74.584723,274534,True,0.0
34003,40.916918,-74.056816,955732,True,0.0
34005,39.983738,-74.836627,461860,True,0.0
34007,39.863128,-75.026364,523485,True,0.0
34009,39.096879,-74.806953,95263,True,0.0
34011,39.431713,-75.0896,154152,True,0.0
34013,40.767919,-74.216055,863728,True,0.0
34015,39.748752,-75.130305,302294,True,0.0
34017,40.741644,-74.061448,724854,True,0.0
34019,40.572604,-74.895969,128947,True,0.0
34021,40.255387,-74.69945,387340,True,0.0
34023,40.484409,-74.388583,863162,True,0.0
34025,40.29118,-74.14859,643615,True,0.0
34027,40.859148,-74.50031,509285,True,0.0
34029,39.978586,-74.215904,637229,True,0.0
34031,40.923998,-74.189868,524118,True,0.0
34033,39.627242,-75.378171,64837,True,0.0
34035,40.559937,-74.578391,345361,True,0.0
34039,40.659355,-74.293688,575345,True,0.0
34041,40.794655,-75.014893,109632,True,0.0
35001,35.109462,-106.617779,676444,True,0.0
35013,32.24837,-106.728836,219561,True,0.0
35028,35.869176,-106.272314,19419,True,0.0
35045,36.723982,-108.220154,121661,True,0.0
35049,35.632632,-106.004765,154823,True,0.0
36001,42.680589,-73.811637,314848,True,0.0
36007,42.120758,-75.936264,198683,True,0.0
36009,42.223696,-78.608393,77042,True,0.0
36013,42.245031,-79.314802,127657,True,0.0
36019,44.72994,-73.542837,79843,True,0.0
36021,42.274439,-73.680411,61570,True,0.0
36027,41.678068,-73.84154,295911,True,0.0
36029,42.891147,-78.792727,954236,True,0.0
36047,40.651666,-73.954985,2736074,True,0.0
36055,43.160725,-77.618985,759443,True,0.0
36059,40.716432,-73.603664,1395774,True,0.0
36063,43.134406,-78.851139,212666,True,0.0
36065,43.146277,-75.355941,232125,True,0.0
36067,43.067977,-76.167376,476516,True,0.0
36071,41.41957,-74.239375,401310,True,0.0
36075,43.392222,-76.31179,117525,True,0.0
36077,42.564145,-75.060236,58524,True,0.0
36083,42.699563,-73.631993,161130,True,0.0
36087,41.127445,-74.02214,338329,True,0.0
36091,43.007918,-73.784353,235509,True,0.0
36093,42.809147,-73.945253,158061,True,0.0
36103,40.823365,-73.103278,1525920,True,0.0
36109,42.459082,-76.478989,105740,True,0.0
36111,41.841749,-74.098362,181851,True,0.0
36113,43.392942,-73.711242,65737,True,0.0
36119,41.038581,-73.80547,1004457,True,0.0
36123,42.634707,-77.078135,24774,True,0.0
37001,36.071544,-79.413154,171415,True,0.0
37005,36.497597,-81.10603,10888,True,0.0
37019,34.041766,-78.216619,136693,True,0.0
37021,35.585308,-82.551811,269452,True,0.0
37023,35.73127,-81.641243,87570,True,0.0
37025,35.395655,-80.621106,225804,True,0.0
37027,35.873003,-81.502542,80652,True,0.0
37035,35.695474,-81.245331,160610,True,0.0
37045,35.291366,-81.515786,99519,True,0.0
37047,34.280555,-78.706901,50623,True,0.0
37049,35.069158,-77.04141,100720,True,0.0
37051,35.054571,-78.937283,334728,True,0.0
37057,35.857903,-80.200515,168930,True,0.0
37063,35.986154,-78.901717,324833,True,0.0
37067,36.104617,-80.258522,382590,True,0.0
37071,35.273689,-81.150823,227943,True,0.0
37081,36.066734,-79.847354,541299,True,0.0
37089,35.341636,-82.471646,116281,True,0.0
37097,35.694772,-80.866837,186693,True,0.0
37101,35.570579,-78.419098,215999,True,0.0
37105,35.453843,-79.173582,63285,True,0.0
37107,35.260621,-77.633969,55122,True,0.0
37119,35.225341,-80.819873,1115482,True,0.0
37125,35.23777,-79.439212,99727,True,0.0
37127,35.945971,-77.925858,94970,True,0.0
