county_fips,places_access2,places_bphigh,places_chd,places_depression,places_diabetes,places_foodinsecu,places_foodstamp,places_ghlth,places_housinsecu,places_lacktrpt,places_lpa,places_mhlth,places_obesity,places_stroke
28097,13.5,44.3,7.2,20.0,15.3,28.8,19.5,27.7,21.7,15.1,37.7,19.6,43.8,4.6
28099,13.2,41.2,7.2,22.0,14.5,26.9,17.1,27.1,19.7,14.7,36.9,20.2,43.4,4.3
28101,12.2,41.3,6.7,20.9,13.7,24.8,15.1,24.9,18.7,13.3,33.4,19.2,41.5,4.1
28103,15.7,47.7,7.3,18.7,18.0,37.3,26.7,31.5,28.2,19.1,40.6,20.0,46.5,5.4
28105,10.4,42.1,6.5,19.0,13.9,21.0,14.2,21.9,17.0,12.2,30.8,17.1,39.6,4.0
28107,13.7,44.5,7.1,20.8,15.6,30.3,20.9,28.2,23.0,15.7,38.4,19.7,46.4,4.7
28109,11.7,37.6,6.3,22.1,11.8,19.2,10.2,22.2,14.6,10.3,31.4,18.6,38.1,3.5
28111,12.1,41.5,6.7,22.2,13.4,22.0,13.5,24.3,16.7,11.9,34.7,19.5,43.6,4.0
28113,14.0,46.5,7.1,20.0,16.3,31.6,22.0,28.5,24.2,16.6,37.7,19.8,46.5,4.8
28115,12.8,39.2,6.3,21.3,12.2,20.1,10.8,23.4,15.4,10.6,33.5,18.6,38.8,3.6
28117,11.4,39.1,6.4,22.3,12.3,19.6,11.2,23.0,14.9,10.8,33.2,18.8,41.3,3.6
28119,16.0,50.6,7.9,19.1,19.5,40.7,31.8,33.9,30.4,21.4,43.8,20.7,51.1,5.9
28121,9.1,37.5,5.1,19.8,10.7,14.7,7.3,17.5,12.0,8.3,26.3,16.2,36.4,2.9
28123,17.2,42.8,7.3,20.6,15.8,30.7,19.6,28.7,23.0,15.8,39.8,19.7,43.2,4.6
28125,16.5,51.2,8.1,18.8,19.6,41.5,32.4,34.3,30.6,21.6,44.3,20.6,50.5,5.9
28127,12.5,40.9,6.3,20.6,13.2,23.4,13.7,23.8,18.2,12.3,33.5,18.9,40.1,3.9
28129,13.1,42.3,6.9,22.2,13.5,24.6,15.1,25.6,18.1,12.7,35.5,19.7,43.8,4.1
28131,11.4,39.7,6.3,21.6,12.1,19.1,10.5,22.0,15.0,10.5,32.4,18.4,41.3,3.6
28133,16.5,49.5,7.6,17.2,18.3,37.2,26.4,31.9,27.7,19.2,41.5,19.2,48.9,5.5
28135,16.0,48.0,7.4,18.8,17.0,32.6,22.1,29.9,24.8,17.0,39.8,18.8,45.1,5.0
28137,11.6,39.0,6.1,20.5,12.5,20.8,11.7,22.5,16.5,11.1,32.1,18.1,36.4,3.6
28139,12.9,39.7,6.7,22.1,13.1,22.0,13.1,24.1,16.4,11.8,34.8,19.3,43.5,3.9
28141,12.2,38.2,6.8,23.5,11.9,19.3,11.1,23.2,14.0,10.5,33.1,19.2,39.4,3.7
28143,16.5,51.2,8.0,18.7,19.9,42.7,33.3,34.7,31.7,22.1,44.8,20.7,50.8,5.9
28145,13.2,39.4,6.4,22.0,12.3,20.9,11.7,23.5,15.8,11.2,32.4,18.8,41.5,3.7
28147,13.6,43.7,6.8,20.3,14.4,27.5,17.1,26.9,20.8,14.2,35.8,19.4,43.2,4.3
28149,11.0,41.5,5.9,19.1,13.5,23.1,13.8,22.4,18.5,12.3,31.5,17.5,43.8,3.9
28151,15.0,49.4,7.3,17.7,17.6,37.3,27.9,31.2,28.1,19.5,39.4,19.6,44.2,5.4
28153,13.7,43.1,7.1,20.6,15.0,28.5,19.1,27.3,21.3,14.9,36.6,19.6,44.4,4.5
28155,11.2,38.3,5.8,21.1,11.3,17.9,9.6,20.9,14.0,9.7,30.6,17.9,36.3,3.4
28157,14.8,48.8,7.3,17.5,17.6,34.5,24.0,30.2,26.3,17.9,40.3,19.0,47.7,5.2
28159,13.7,44.8,7.2,19.8,15.7,29.7,19.9,27.2,21.9,15.3,36.0,19.4,42.0,4.6
28161,13.9,44.1,7.1,20.7,15.0,29.1,19.1,27.6,21.5,14.9,37.7,19.7,40.1,4.5
28163,18.3,48.6,7.9,18.7,17.9,36.2,25.6,32.7,26.5,18.8,42.3,19.6,50.2,5.3
29001,8.8,33.0,6.2,27.2,10.9,14.6,12.4,20.8,12.8,9.1,29.8,19.0,38.9,3.3
29003,8.1,32.3,5.3,25.0,9.2,11.3,8.4,17.5,10.6,7.2,25.5,18.2,35.8,2.8
29005,9.5,34.7,6.3,27.0,10.9,14.9,12.5,21.3,12.8,9.1,31.0,19.5,41.6,3.3
29007,10.4,34.6,6.5,27.1,11.6,17.8,15.3,23.6,15.0,10.5,33.2,20.9,39.9,3.6
29009,12.8,34.0,6.7,26.0,11.6,18.8,15.1,24.4,15.4,10.7,34.4,20.1,37.7,3.5
29011,11.5,35.6,7.1,27.1,12.0,19.1,17.1,25.3,15.4,11.2,33.8,20.9,40.8,3.8
