stateabbr,trial_count,site_count,year,diabetes_prevalence,diabetes_low_ci,diabetes_high_ci,places_access2,places_bphigh,places_depression,places_diabetes,places_foodinsecu,places_foodstamp,places_ghlth,places_housinsecu,places_lacktrpt,places_loneliness,places_lpa,places_mhlth,places_obesity,population,poverty_rate,median_income,gini,pct_black,pct_hispanic,pct_no_vehicle,pct_no_internet,unemployment_rate,uninsured_pct,pct_bachelors_plus,pct_rural,medicaid_expanded,trials_per_100k,industry_trial_count,non_industry_trial_count,industry_trials_per_100k,non_industry_trials_per_100k,industry_pct,burden_decile,expected_trials_per_100k,coverage_residual,coverage_residual_z,coverage_quartile
ID,301,376,2023.0,9.02534981006876,7.74284078098871,10.452872476265272,11.003005908971915,28.874937357418005,24.27377078959038,9.02534981006876,13.293546344825376,9.241579180757908,17.26111845725612,11.111016145491071,7.755867699935352,29.71634851180459,21.66679776196353,16.846104005385392,32.412273872299956,1854109,11.01173363290602,70214,0.4436,0.6893337986062308,13.064819813721847,3.7500573799500385,7.136585011912818,2.3530773475828837,9.7,30.2,78.8710928026987,1,16.234212767426296,300,1,16.180278505740493,0.05393426168580164,99.66777408637874,3.0,8.749234107370835,7.484978660055461,2.1529059846037764,Q4_high
IL,637,1168,2023.0,10.209867802933454,8.838996229950183,11.704094617655311,10.22186603498295,29.92903102923792,20.348027923540915,10.209867802933454,16.527015622550895,14.351227635614068,17.861674146730753,14.040819929202744,8.391279516082975,34.28131640798049,22.31389127185672,16.326736401363362,34.13573224631398,12757634,11.763222409065586,78433,0.4812,13.910141958924358,17.837978421390673,10.814486750318641,9.023798890709374,3.871388534218466,7.0,36.7,58.323873827044636,1,4.9930888439031875,546,91,4.279790437631304,0.713298406271884,85.71428571428571,6.0,8.621584079408338,-3.6284952355051505,-1.043664846943925,Q1_low
IN,455,892,2023.0,11.477603993975293,9.968518496401384,13.083104525260453,9.14959337016784,34.862805564797355,25.6635626153448,11.477603993975293,15.307863627014124,9.059905344984639,19.876290425776947,12.125074972345683,8.067748270361113,33.41258498429842,24.229706793151397,18.368310589020357,38.570637020859934,6784403,12.30361800145239,67173,0.4517,9.444486125013505,7.531745976764647,6.155043947910684,10.568526633293086,2.8678328293976887,7.8,28.2,75.46949920477817,1,6.706559147503472,410,45,6.043273077970162,0.6632860695333105,90.10989010989012,8.0,6.405747060734723,0.30081208676874915,0.08652264371863846,Q3
KS,351,475,2023.0,10.103719199771705,8.742270064806972,11.579080085602007,10.262201513750501,31.626914280906185,21.357358999095812,10.103719199771705,13.537234958990904,7.8372078466429445,17.46696883504607,12.143562598137574,7.444560457196992,31.444455435803174,24.95793347814028,16.64559237363932,36.982010178037754,2935922,11.581155861637013,69747,0.4579,5.571707967718488,12.601492818950913,5.138272819477032,9.202836410173814,2.618752089223107,8.9,34.7,72.2485261481068,0,11.955358487044274,332,19,11.308202329625923,0.6471561574183511,94.58689458689459,5.0,7.037725759839368,4.917632727204905,1.414459734532414,Q4_high
KY,363,582,,,,,,,,,,,,,,,,,,4502935,16.11704673650374,60183,0.4768,7.998871846917622,4.008074733479386,6.736920765450494,11.506685312661451,3.009280819639412,5.9,26.5,81.33371920327326,1,8.061408836680965,339,24,7.528423128470653,0.5329857082103118,93.38842975206612,,,,,
LA,440,721,2023.0,13.414296155820455,11.666146466662866,15.298227171619232,9.191516968003194,39.486529145040784,27.227698910625676,13.414296155820455,23.2640939941824,19.66434537728854,23.56102891689956,17.992156704500083,11.834559031540524,37.387343523641135,29.531538156618947,20.203644641533113,40.09274898762334,4640546,18.654776592546447,57852,0.4952,31.56055343487598,5.507627766215441,8.274229803587453,14.135222833525184,3.8627189090993084,8.1,26.1,55.75005308349061,1,9.481642892883725,397,43,8.55502779198827,0.926615100895455,90.22727272727273,10.0,6.558610441132117,2.9230324517516078,0.8407524382334653,Q4_high
MA,500,674,2023.0,8.572097223159666,7.361904732456262,9.787463544230526,5.3829235574682155,27.89917764477265,24.429106431234164,8.572097223159666,13.008819902049579,14.729639401950458,15.638669477938185,11.981438469658093,7.933758404748888,35.00413071741137,21.078188397833205,17.047635097051064,27.83720992197679,6984205,9.9281159170337,96505,0.4878,7.141614543101183,12.58977936644185,11.932747049885169,7.050870213189006,3.5638995869683705,2.7,45.9,67.55267523073174,1,7.159010939684617,327,173,4.68199315455374,2.4770177851308777,65.4,2.0,6.896216609471667,0.26279433021294984,0.07558758841287179,Q3
MD,520,780,2023.0,10.878887840348236,9.603958440432871,12.241088325702416,9.083135322415181,33.40379902858601,19.965810901147012,10.878887840348236,15.860902132831306,12.218033504090727,17.121980239240216,14.351656079680604,8.197709541694573,35.235354293400405,22.754597779275297,15.736077405959774,35.00797679780389,6161707,9.256502803961341,98461,0.4559,29.893112411868984,10.920756212523575,8.670890772020824,6.963518776389874,3.408409865295543,5.9,42.2,47.169764282467334,1,8.439219846058892,425,95,6.897439297259671,1.5417805487992207,81.73076923076923,7.0,7.601857910310011,0.8373619357488806,0.24085058951120777,Q3
ME,85,111,2023.0,8.772530457760297,7.570458021924354,10.02352917578728,8.307368205324984,29.709981686099752,28.403767082072438,8.772530457760297,11.492183104118885,15.241584937253089,17.272045488239858,11.189655611466245,8.501619297618321,33.72776221580751,21.506151377466928,19.557229630146423,32.743569815204026,1366949,10.943665595048795,68251,0.4566,1.5929635999587402,1.8945842163826156,6.871582909895686,9.48994436132733,2.5055709360043625,7.1,34.1,90.15714653773344,1,6.2182276002981824,80,5,5.852449506162995,0.3657780941351872,94.11764705882354,2.0,6.896216609471667,-0.6779890091734844,-0.19501012115569127,Q2
MI,472,895,2023.0,10.10108478489909,8.774580756685824,11.52740815232135,7.1555606250828045,32.70726491574505,26.55355277684897,10.10108478489909,16.206509075308976,15.097722283558452,18.40531069290315,13.037885721135344,8.772202741834745,33.37103825067662,23.875476515232766,18.744085674449714,36.36606865311941,10057921,13.13491329111057,68505,0.4642,13.5568672690907,5.472572313900656,7.179666636153917,9.495409743411054,3.700112668612601,5.2,31.1,72.39665939324608,1,4.6928187246648685,406,66,4.036619496215968,0.6561992284489011,86.01694915254237,5.0,7.037725759839368,-2.3449070351745,-0.6744661031978509,Q1_low
MN,358,430,2023.0,8.721503427668498,7.547368830292489,10.014595825404706,7.78663780620201,27.821031169617356,25.12996280579069,8.721503427668498,11.953330451493935,8.287935805900451,15.290076698547953,10.096731651544147,7.440694877891071,32.090551976670625,21.54812450177272,15.924263998425957,33.59351376532826,5695292,9.262296155444911,84313,0.4496,6.708734161479341,5.742444812311643,6.580439213058136,7.445993707798235,2.721848733383922,4.6,38.2,76.29693468529013,1,6.285893682009632,240,118,4.214006937660089,2.0718867443495435,67.0391061452514,2.0,6.896216609471667,-0.6103229274620352,-0.17554731185622058,Q2
MO,514,884,2023.0,10.407912584933985,8.958051042726547,11.967763392307173,8.997186896865536,32.95438417184363,25.127903310169923,10.407912584933985,14.355935351244357,11.33811608636481,19.624062558200595,13.166829217000027,8.788723239132537,32.499515791779054,27.76205555484119,18.515183962622203,36.812611086661384,6154422,12.820297552948102,65920,0.4661,11.274689970885975,4.550841654992134,6.588065690283298,10.394561497996197,2.685149669206612,9.5,31.2,75.77535214551368,1,8.35171848794249,450,64,7.311815796836811,1.0399026911056797,87.54863813229572,6.0,8.621584079408338,-0.2698655914658481,-0.07762149677273189,Q2
MS,183,247,2023.0,13.560649047907306,11.70731827225001,15.557841401075468,11.913752641751891,41.63830296867422,20.08068317385471,13.560649047907306,23.265371455981423,14.322401790550227,23.48059215067809,18.14285249023835,12.453153065848209,37.202478157977644,33.08743123479997,18.159752843533948,40.66314981786515,2958846,19.19687815143246,52985,0.4834,37.23870725276003,3.2824621490946133,6.102371509423698,16.557311403418804,3.639862235221612,11.8,23.9,55.35030640476632,0,6.1848436856801605,176,7,5.9482649654628865,0.23657872021727389,96.17486338797814,10.0,6.558610441132117,-0.3737667554519568,-0.10750661039994086,Q2
