,poverty_rate,median_income,gini,uninsured_pct,pct_bachelors_plus,pct_black,pct_hispanic,pct_no_vehicle,pct_no_internet,unemployment_rate,pct_rural,medicaid_expanded,places_access2,places_lacktrpt,places_foodinsecu,places_housinsecu,places_foodstamp,places_bphigh,places_obesity,places_depression,places_mhlth,places_ghlth,places_lpa,places_loneliness,coverage_residual
places_access2,0.366023079589443,-0.3568496375260114,0.17476876228315735,0.8415665403424882,-0.37532740083032406,0.09542367482442407,0.6505920116903806,-0.30126579132931747,0.20483902261546663,0.12573237520004604,-0.3845997439149984,-0.4683389724588769,1.0,0.5660081882035217,0.5182159158723438,0.5730152447934997,0.17260029020773748,0.23176803531171775,0.16629055833390857,-0.24655175507734417,0.12373758054762034,0.534350953266125,0.37822720150958644,0.21406306659989296,-0.0972493168870292
places_lacktrpt,0.8491454929495375,-0.5471119927323428,0.4828593170282161,0.5065215769331021,-0.4879386235348978,0.4136101661756355,0.2612789187379809,-0.016870780805085892,0.7289849753227984,0.4703189663320195,-0.4412230539814282,-0.2217685696590463,0.5660081882035217,1.0,0.9232924076939731,0.9263539301211757,0.7440709998528106,0.6707420130595365,0.3070485072738003,0.08407694235216737,0.5067704934772221,0.8698129170543252,0.6799038820380837,0.6620621903040087,-0.07316818810837376
places_foodinsecu,0.79826894594203,-0.44413483076415217,0.5003938017959472,0.4037401613301173,-0.4385835758605978,0.4555862620602435,0.3215932754208061,0.02664713807870681,0.6640876040948107,0.4842085393003209,-0.5950567189984878,-0.2541059501965979,0.5182159158723438,0.9232924076939731,1.0,0.9444826847645963,0.7082168739279896,0.6420465609990803,0.2521561747468335,-0.07842290147617888,0.373721683105472,0.8227631573488403,0.6692180507948178,0.6524650248115894,-0.018729644829432766
places_housinsecu,0.7545214447838445,-0.3685881284250582,0.5864891041491476,0.4015189676813306,-0.33540228194919586,0.4867810231410076,0.4037176094267456,0.10934686211809537,0.5892120826104269,0.6002084693493043,-0.5846213130217007,-0.2218892350205132,0.5730152447934997,0.9263539301211757,0.9444826847645963,1.0,0.7431931842559272,0.5950208126262282,0.18620311989723223,-0.09832625432351708,0.36620315634554984,0.7846648940039652,0.6547579218562417,0.7387710813690851,-0.10234349656194384
places_foodstamp,0.6603748957719543,-0.3207401481529628,0.5386737834367565,0.047836554792496024,-0.23744316491172174,0.29858497291810476,0.24102526537854171,0.19207104162426572,0.5084815389016276,0.5152043346869573,-0.37513518400256485,-0.031596901597720654,0.17260029020773748,0.7440709998528106,0.7082168739279896,0.7431931842559272,1.0,0.43667893116647394,0.12172862339871028,0.21783058319520696,0.5226701280578763,0.6467243270149531,0.5157718577783525,0.6864993049210015,-0.17457995394375306
places_bphigh,0.7561783163764145,-0.6485695983359513,0.3089235161184078,0.38640141926874283,-0.5618052885913759,0.6206614140233542,-0.2767875173817606,-0.09147692943955714,0.7941830215525632,0.15015130493097578,-0.07711044701092201,-0.354121767505656,0.23176803531171775,0.6707420130595365,0.6420465609990803,0.5950208126262282,0.43667893116647394,1.0,0.7704254765395098,0.2217270028587406,0.5699887776721243,0.7644047114896169,0.7939184066984007,0.4427730629151468,0.06433614892002809
places_obesity,0.49196627604061594,-0.7613591852579109,-0.1428685829493368,0.3705160781784985,-0.7477147443790335,0.1809926664753317,-0.37556957748630354,-0.4215255031047847,0.6937444458294785,-0.31884138085784514,0.3315511725579389,-0.3097785260346185,0.16629055833390857,0.3070485072738003,0.2521561747468335,0.18620311989723223,0.12172862339871028,0.7704254765395098,1.0,0.3258491568694108,0.48339892869808726,0.5760744638030053,0.7203194821548566,-0.06812408033041713,0.013868325153662535
places_depression,0.19398399703392857,-0.4142240666070275,-0.17113720382486486,-0.118743699134737,-0.2582754614341247,-0.21325667577253798,-0.3992088883988209,-0.2476144423782267,0.24811603462677823,-0.2543858073204197,0.6003037409754244,0.13934146835708797,-0.24655175507734417,0.08407694235216737,-0.07842290147617888,-0.09832625432351708,0.21783058319520696,0.2217270028587406,0.3258491568694108,1.0,0.7062315409200235,0.18029251050158834,0.037302251326249064,-0.022367036058343268,0.006440432946513756
places_mhlth,0.49903827936617784,-0.6510072649535028,0.08023764240332198,0.19051341773419117,-0.6240679016673997,-0.024795022952812024,-0.2285584089415064,-0.3190284252741531,0.5343198361404708,0.0015469288834960284,0.2938622350728809,-0.08338662586781702,0.12373758054762034,0.5067704934772221,0.373721683105472,0.36620315634554984,0.5226701280578763,0.5699887776721243,0.48339892869808726,0.7062315409200235,1.0,0.6681612027705719,0.5404731152133568,0.34585295995135745,-0.09655783432949229
places_ghlth,0.8041246426519827,-0.6825985852041303,0.31268338719574246,0.5372882592463282,-0.7313573989533109,0.26630122543910506,0.21575900810859355,-0.22460433031949661,0.7312045015475129,0.23423081866972867,-0.2920750330173384,-0.2979464209711095,0.534350953266125,0.8698129170543252,0.8227631573488403,0.7846648940039652,0.6467243270149531,0.7644047114896169,0.5760744638030053,0.18029251050158834,0.6681612027705719,1.0,0.8009096039173441,0.5239007947732887,-0.036874753755840914
places_lpa,0.6616654012213825,-0.6641291996803571,0.2704993149139747,0.43332512178400984,-0.709091166352614,0.3095325934957652,-0.038339577188066444,-0.2114289143982446,0.7461542305844696,0.06651630579612652,-0.09078850739746083,-0.37461362712277824,0.37822720150958644,0.6799038820380837,0.6692180507948178,0.6547579218562417,0.5157718577783525,0.7939184066984007,0.7203194821548566,0.037302251326249064,0.5404731152133568,0.8009096039173441,1.0,0.3566861643092532,-0.1021712481616908
places_loneliness,0.49266667233580147,-0.015799990336286346,0.5761996426250023,0.07884187401741179,0.0008226735144128679,0.5381865012233622,0.24514300941103143,0.2941054507871576,0.286308601576925,0.7024145884763284,-0.5207403648606078,-0.10820322746988953,0.21406306659989296,0.6620621903040087,0.6524650248115894,0.7387710813690851,0.6864993049210015,0.4427730629151468,-0.06812408033041713,-0.022367036058343268,0.34585295995135745,0.5239007947732887,0.3566861643092532,1.0,-0.22026959835092613
coverage_residual,0.1431412851007824,-0.10305875858222421,0.08175475371487852,-0.1145364253764719,0.05152576677017302,0.1259212007817976,-0.04959720743431075,0.0714063221436734,0.09373718411575498,-0.08813993597431409,-0.07363533345083706,0.14375704637825487,-0.0972493168870292,-0.07316818810837376,-0.018729644829432766,-0.10234349656194384,-0.17457995394375306,0.06433614892002809,0.013868325153662535,0.006440432946513756,-0.09655783432949229,-0.036874753755840914,-0.1021712481616908,-0.22026959835092613,1.0
