county_fips,county_site_count,county_trial_count
48479,7,6
48485,1,1
48491,72,69
49005,1,1
49011,79,72
49035,113,85
49043,1,1
49045,2,1
49049,22,22
49053,51,50
49057,66,65
50003,18,18
50007,54,54
50021,1,1
50027,1,1
51011,1,1
51013,22,22
51019,3,2
51023,1,1
51041,16,16
51059,80,78
51061,7,7
51073,1,1
51083,1,1
51085,4,4
51105,1,1
51121,3,3
51137,1,1
51143,2,2
51153,1,1
51167,5,5
51185,1,1
51191,1,1
51199,1,1
51510,15,15
51540,59,58
51550,22,20
51570,1,1
51590,25,22
51600,17,14
51610,21,20
51630,6,5
51640,1,1
51650,22,21
51660,1,1
51680,2,2
51683,100,95
51690,1,1
51700,43,43
51710,133,125
51720,1,1
51730,2,2
51740,2,2
51750,1,1
51760,231,199
51770,11,11
51775,35,35
51800,28,28
51810,76,74
51830,3,3
51840,36,33
53005,11,11
53007,40,40
53011,16,16
53033,364,315
53035,21,19
53053,120,109
53061,19,16
53063,184,162
53067,81,80
53071,11,11
53073,3,3
53077,10,10
54003,5,5
54011,11,11
54025,12,12
54033,4,4
54039,21,18
54045,1,1
54055,2,2
54059,1,1
54061,18,18
54077,2,2
55009,15,14
55025,47,42
55035,1,1
55059,37,36
55063,4,4
55071,3,3
55073,5,5
55079,147,137
55087,1,1
55101,1,1
55105,2,2
55131,1,1
55133,14,14
55141,5,5
56001,1,1
